Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.45 stage=move.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.45 stage=move.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.45 stage=laneChange.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.45 stage=laneChange.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.45 stage=insertion.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.45 stage=insertion.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.46 stage=events.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.46 stage=events.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.46 stage=move.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.46 stage=move.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.46 stage=laneChange.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.46 stage=laneChange.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.46 stage=insertion.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.46 stage=insertion.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.47 stage=events.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.47 stage=events.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.47 stage=move.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.47 stage=move.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.47 stage=laneChange.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.47 stage=laneChange.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.47 stage=insertion.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.47 stage=insertion.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.48 stage=events.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.48 stage=events.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.48 stage=move.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.48 stage=move.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.48 stage=laneChange.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.48 stage=laneChange.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.48 stage=insertion.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.48 stage=insertion.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.49 stage=events.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.49 stage=events.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.49 stage=move.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.49 stage=move.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.49 stage=laneChange.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.49 stage=laneChange.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.49 stage=insertion.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.49 stage=insertion.
Warning: Vehicle 'veh6'; collision with vehicle 'veh1', lane=':c2_2_0', gap=-1.00, time=274.50 stage=events.
Warning: Vehicle 'veh1'; collision with vehicle 'veh6', lane=':c2_1_0', gap=-1.00, time=274.50 stage=events.
